#,Category,Place Name,Emoji Representation,Logic / Hint
1,Kerala Places,Kozhikode,🐔 🧥,Kozhi (Chicken) + Code (Coat)
2,Kerala Places,Palakkad,🥛 🌲,Paal (Milk) + Kadu (Forest)
3,Kerala Places,Wayanad,🌾 🗺️,Vayal (Paddy field) + Nadu (Land)
4,Kerala Places,Idukki,🤏 🔑,Idukku (Narrow/Pinch) + Key
5,Kerala Places,Kottayam,🏰 🏠,Kotta (Fort) + Yam/Akam (Inside/Home)
6,Kerala Places,Kannur,👁️ 🚪,Kannu (Eye) + Ur/Ooru (Town/Doorway)
7,Kerala Places,Malappuram,⛰️ 🏯,Mala (Hill) + Puram (Outside/City)
8,Kerala Places,Ponnani,🪙 🐘,Pon (Gold) + Aani (Elephant - Aana)
9,Kerala Places,Alappuzha,🌊 🛶,Ala (Wave) + Puzha (River)
10,Kerala Places,Thrissur,3️⃣ ⛪,Thri (Three) + Soor (Church/Place)
11,Kerala Places,Aluva,🍮,"Sounds like ""Halwa"""
12,Kerala Places,Munnar,3️⃣ ⛰️,Moonu (Three) + Aar (River/Peak)
13,Kerala Places,Pathanamthitta,🥣 🧱,Pathram (Plate/Vessel) + Thitta (Platform)
14,Kerala Places,Guruvayur,👨‍🏫 🌬️,Guru (Teacher) + Vayu (Wind)
15,Kerala Places,Kumarakom,👦 🏘️,Kumaran (Boy) + Kom (Home/Place)